ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
DeterministicSelect,0,2,1250200,1,2
DeterministicSelect,1,183,162100,1,1013
DeterministicSelect,2,485,444700,1,2740
DeterministicSelect,3,445,236100,1,2600
DeterministicSelect,4,491,171100,1,2859
DeterministicSelect,5,449,155200,1,2524
DeterministicSelect,6,185,68000,1,1096
DeterministicSelect,7,73,32400,1,366
DeterministicSelect,8,360,126000,1,2109
DeterministicSelect,9,42,19400,1,220
DeterministicSelect,10,415,144500,1,2511
DeterministicSelect,11,153,54700,1,836
DeterministicSelect,12,205,61600,1,1158
DeterministicSelect,13,8,7800,1,21
DeterministicSelect,14,349,135700,1,2091
DeterministicSelect,15,40,38100,1,216
DeterministicSelect,16,457,158400,1,2606
DeterministicSelect,17,82,25200,1,387
DeterministicSelect,18,241,67100,1,1613
DeterministicSelect,19,462,142600,1,2623
DeterministicSelect,20,230,34200,1,1279
DeterministicSelect,21,261,38300,1,1552
DeterministicSelect,22,495,69900,1,3021
DeterministicSelect,23,435,265400,1,2306
DeterministicSelect,24,208,96700,1,1152
DeterministicSelect,25,57,33200,1,285
DeterministicSelect,26,283,118600,1,1513
DeterministicSelect,27,114,37000,1,542
DeterministicSelect,28,184,20700,1,1100
DeterministicSelect,29,444,50000,1,2463
DeterministicSelect,30,381,50800,1,2071
DeterministicSelect,31,167,18500,1,991
DeterministicSelect,32,401,35700,1,2326
DeterministicSelect,33,106,12400,1,563
DeterministicSelect,34,243,22500,1,1400
DeterministicSelect,35,119,14200,1,684
DeterministicSelect,36,121,13800,1,607
DeterministicSelect,37,237,21200,1,1267
DeterministicSelect,38,304,31400,1,1970
DeterministicSelect,39,197,23600,1,1089
DeterministicSelect,40,253,22500,1,1380
DeterministicSelect,41,161,32200,1,796
DeterministicSelect,42,175,19300,1,1053
DeterministicSelect,43,477,59600,1,2515
DeterministicSelect,44,292,27700,1,1559
DeterministicSelect,45,187,19400,1,917
DeterministicSelect,46,176,19100,1,949
DeterministicSelect,47,207,20900,1,1146
DeterministicSelect,48,493,37800,1,2702
DeterministicSelect,49,357,33900,1,1939
ALGORITHM,N,SIZE,TIME,DEPTH,COMPARISONS
DeterministicSelect,0,385,2510100,1,2433
DeterministicSelect,1,159,81700,1,807
DeterministicSelect,2,201,114800,1,1021
DeterministicSelect,3,446,100400,1,2608
DeterministicSelect,4,315,69000,1,1908
DeterministicSelect,5,466,99300,1,2501
DeterministicSelect,6,280,65700,1,1467
DeterministicSelect,7,228,50400,1,1324
DeterministicSelect,8,46,18100,1,237
DeterministicSelect,9,420,86800,1,2416
DeterministicSelect,10,150,40000,1,964
DeterministicSelect,11,465,91500,1,2559
DeterministicSelect,12,114,55300,1,653
DeterministicSelect,13,225,64100,1,1378
DeterministicSelect,14,57,35300,1,249
DeterministicSelect,15,373,79100,1,2243
DeterministicSelect,16,159,37200,1,846
DeterministicSelect,17,380,54500,1,2275
DeterministicSelect,18,227,39800,1,1411
DeterministicSelect,19,392,58000,1,2505
DeterministicSelect,20,325,34400,1,1641
DeterministicSelect,21,318,43100,1,1884
DeterministicSelect,22,143,26200,1,812
DeterministicSelect,23,296,46000,1,1766
DeterministicSelect,24,343,31800,1,1922
DeterministicSelect,25,108,11400,1,537
DeterministicSelect,26,366,32300,1,2043
DeterministicSelect,27,447,189200,1,2450
DeterministicSelect,28,289,80100,1,1682
DeterministicSelect,29,326,91500,1,1890
DeterministicSelect,30,47,14900,1,123
DeterministicSelect,31,411,124500,1,2244
DeterministicSelect,32,468,145100,1,2405
DeterministicSelect,33,266,44000,1,1589
DeterministicSelect,34,142,17500,1,730
DeterministicSelect,35,304,25100,1,1579
DeterministicSelect,36,91,11900,1,493
DeterministicSelect,37,498,32000,1,3127
DeterministicSelect,38,123,104100,1,666
DeterministicSelect,39,480,35300,1,2708
DeterministicSelect,40,261,24500,1,1540
DeterministicSelect,41,185,19200,1,987
DeterministicSelect,42,473,43100,1,2702
DeterministicSelect,43,260,23300,1,1583
DeterministicSelect,44,269,27500,1,1459
DeterministicSelect,45,407,30300,1,2230
DeterministicSelect,46,128,17700,1,749
DeterministicSelect,47,138,17700,1,728
DeterministicSelect,48,202,39100,1,1140
DeterministicSelect,49,430,27700,1,2433
